Work Steps,Actions,CATEGORY 
"LARGE QTY OF FOD IN THE WHEEL WELLS, FLAP TRACKS, AILERONS, AND LANDING GEAR / LOTO INSTALLED",". 

REMOVED FOD AND INSPECTED AREA FOR DAMAGE, NO FAULTS NOTED AT THIS TIME, AIRCRAFT RETURNED TO SERVICE / LOTO DEVICE REMOVED AND STOWED AS REQ",TIRE CUT/PUNCTURE
PARKING BREAK LIGHT BURNT OUT / LOTO DEVICE INSTALLED,". 

PARKING BRAKE LIGHT RELAMPED BRAKE ON LIGHT IAW EMB 145XR MM 20-13-04 / LOTO REM",COCKPIT LIGHT/PUSHBUTTON
BUG WASH REQUIRED FOR WIND SCREEN / LOTO INSTALLED,". 

WIND SHEILD CLEANED BY OPS AS REQUIRED. / LOTO REMOVED AND STOWED",PAPERWORK
MISSING F/O GND SPD BUTTON ON THE GFRC / LOTO DEVICE INSTALLED,". 

R/R FO RA CONTROLLER IAW E145AMM 34-61-02 OPS CK SAT / REMOVED AND STOWED LOTO AS REQUIRED",COCKPIT EQUIP/INTERIOR
REQUIRED GALLEY CART PLACARD MISSING / LOTO DEVICE INSTALLED,". 

INSPECTED AND FOUND TO E145-2530-2021-001 HAS NOT BEEN COMPLIED WITH. NO PLACARD REQUIRED. / LOTO REMOVED AND STOWED LOTO AS REQ`D.",PLACARD
"PACK 1 OVERLOAD REPEATEDLY IN FLIGHT, FLIGHT CREW AND FLIGHT ATTENDANT NOTICED A BURNING SMELL SMILAR TO FIREWORKS / LOTO DEVICE INSTALLED",". 

PERFORMED FUNCTIONAL CHECK OF #1 PACK SYSTEM, NO FAULTS NOTED, NO MESSAGES PRESENT, NO SMELL INDICATED, OPS CK SAT IAW EMB 145 AMM 21-51-00 / LOTO DEVICE REMOVED AND STOWED AS REQ",PACK OVERLOAD
PACK 1 VALVE CLOSED MESSAGE ON EICAS IN FLIGHT / MEL REQUIRES VERIFICATION,". 

DEFRRED PER MEL 21-51-00-3. PLACARD INSTALLED. VERIFIED PACK 2 AND RECIRC FAN OPERATE NORMALLY. / R/R SLEEVE AND CLA FROM DUAL TEMP CONTROL VALVE TO DUAL HEAT EXCHANGER IAW EMB 145 AMM 21-60-01, OPS CHECK SAT AT THIS TIME, MELCLEARED, PLACARD REMOVED. / VERIFIED MEL 21-51-00-3 PLACARD INSTALLED PROPERLY AND PACK 2 PREFORMED NORMALY, MEL CONTINUES",PACK VALVE
PRESSURIZATION AUTO FAIL,". 

RESET SUCCESSFUL AS PER MAINTENANCE CONTROL",PRESSURIZATION PROBLEM
VENTILATION DUCT HANGING BEHIND CAPT RH RUDDER PEDAL,". 

VENT DUCT RESECURED ISIS VENT DUCT IAW EMB 145XR MM 21-20-04",AIR DISTRIBUTION
SEAT 19D WINDOW REVEAL FELL OFF / LOTO DEVICE INSTALLED,". 

SECURED WINDOW REVEAL SEAT 19D AS REQ, DEFFERED PER NEF 25-90-15-1 PLACARD APPLIED / R/R 19D WINDOW REVEAL IAW EMB 145 AMM 25-23-09. NEF CLEAR. PLACARD REMOVED. / LOTO DEVICE REMOVED AND STOWED AS REQ",CABIN INTERIOR
E1 START/STOP SWITCH GUARD IS BROKEN. / LOTO DEVICE INSTALLED.,". 

DEFERRED PER MEL 80-00-00-1. PLACARD APPLIED. / LP# 45894 R/R SWITCH GUARD IAW EMB 145 AMM 20-13-10. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED. / REMOVED AND STOWED LOTO",COCKPIT EQUIP/INTERIOR
BOTH COCKPIT SEATS TRACK NEED LUBRICATION,". 

COCKPIT SEAT TRACKS LUBED CA`S & FO`S SEAT TRACKS IAW EMB 145XR MM 25-11-01, OPS CK GOOD",COCKPIT EQUIP/INTERIOR
CAPT`S BOTTOM YOKE CHECKLIST WIRE CLIP BROKEN / LOTO DEVICE INSTALLED.,". 

LOTO DEVICE REMOVED AND STOWED AS REQUIRED. / DEFERRED PER MEL 25-12-04-1. PLACARD INSTALLED. REMOVED BROKEN WIRE IRW AMM 25-12-11. / CHECKLIST CIRE CLIP CAPT`S CHECKLIST WIRE CLIP REPLACD IAW EMB 145 AMM 25-12-11-04, MEL CLEARED, PLACARD REMOVED / LOTO REMOVED AND STOWED AS REQUIRED",COCKPIT EQUIP/INTERIOR
CAPT`S RT ARMREST HEIGHT ADJ. INOP.,". 

ADJUSTED CAPT`S RT ARMREST HEIGHT ADJ. IRW ZODIAC CMM 25-11-71. OPS CHECK SAT.",CREW SEAT
GALLEY TRASH CAN MISSING / LOTO INSTALLED,". 

INSTALLED GALLEY TRASHCAN. IAW EMB145 25-30-01 / LOTO REMOVED AND STOWED.",GALLEY
OVERHEAD BIN DOOR AT 22D OFF TRACK. / LOTO DEVICE INSTALLED.,". 

OVERHEAD BIN RESECURED OVERHEAD BIN AT ROW 22D IRW EMB 145 XR AMM 25-22-03 / LOTO REMOVED AND STOWED LOTO",OVHD BIN
10 SAFETY BRIEFING CARDS REQ,". 

PAX BRIEFING CARDS SUPPLIED BRIEFING CARDS AS REQ`D",PAPERWORK
ARMREST AT SEAT 20A WILL NOT RAISE. / LOTO DEVICE INSTALLED.,". 

VERIFIED PROPER OPERATION OF ARM REST IAW ZODIAC CMM 25-20-60 OPS CK SAT, NO FURTHER DEFECTS NOTED / LOTO DEVICE REMOVED AND STOWED AS REQ",PAX SEAT
FLAP LOW SPEED MSG ON GROUND WITHOUT ACTUATING FLAP LEVER / LOTO DEVICE INSTALLED / PERFORME CMC DOWNLOAD,". 

FOUND PREVIOUS FECU PN-1011 PRONE TO FAILURES DURRING STARTUP, R&R FECU IAW EMB145AMM 27-53-02, PERFORMED OPS CHK, NO DEFECTS NOTED. / LOTO REMOVED AND STOWED / CMC PERFORMED IAW EMB145AMM 45-45-00, DATA FORWARDED, NO FLAP FAULT LOGGED.",FLAP LOW SPEED
FO SIDE PTRIM NOT WORKING / MEL VERIFICATION REQUIRED / LOTO INSTALLED,". 

DEFERRED PER MEL 27-40-00-1. PLACARD APPLIED. / FO SIDE PTRIM R/R FO SIDE PTRIM SWITCH PER EMB145XR AMM 27-40-03-04. OPS CHECK GOOD. MEL CLEARED. PLACARDS REMOVED. / VERIFIED MEL WAS APPLIED CORRECTLY. / LOTO REMOVED AND STOWED AS REQUIRED",PITCH TRIM
"ENG FUEL LOW PRESS ON #2 ON T/O ROLL, ATO BELOW 80 KTS / LOTO DEVICE INSTALLED",". 

DEFFERED FUEL 2B PER MEL 28-21-01-1 MX PROCEDURES C/W PULLED AND COLLARED C/B A4 ON THE LEFT DISTRIBUTION PANEL. PLACARD APPLIED / ENG FUEL LOW PRESS ON #2 ON T/O ROLL, ATO BELOW 80 KTS R/R FUEL PUMP 2B UP TO AND INCLUDING J4 ON TASK CARD. FULE LEAK CHECK UNSUCESSFUL AND WILL REQUIRE REMOVAL OF PANEL IAW EMB145 XR AMM 28-21-01-04. OPS CHECK AND LEAK CHECK STILL REQUIRED. / REMOVED AND REPLACED 2B FUEL PUMP OPS CHECKED AND LEAKED CHECKED GOOD IAW EMB 145 AMM 28-21-01-04 MEL CLEARED C/B RESET PLACARD REMOVED / LOTO DEVICE REMOVED AND STOWED AS REQ",ENG NO DISP/SHORT DISP
VENTRAL TANK TRANSFER INOP. MESSAGE. / LOTO DEVICE INSTALLED. / REMOVED AND STOWED LOTO DEVICE.,". 

DEFERRED PER MEL 28-21-11-2. PLACARD INSTALLED. C/B A1 ON LT DIST. PANEL PULLED AND COLLARED. PUMP B OPERATES NORMALLY. / 73735 R&R VENTRAL TANK FUEL PUMP A IAW EMB145X AMM 28-27-01. OPS CHECK SAT. LEAK CHECK GOOD. PLACARD REMOVED. CB A1 CLOSED, MEL CLEARED. / REMOVED AND STOWED LOTO DEVICE / EIE SEE ABOVE, THIS SHOULD BE AN ACTION STEP",FUEL TRANSFER
PITOT 1 INOP AFTER #2 ENGINE START / LOTO DEVICE INSTALLED,". 

LOT DEVICE REMOVED AND STOWED. / R&R PITOT CURRENT SENSOR IRW AMM 30-31-01. OPS CHECK SAT IRW AMM TASK 30-31-00-700-801A/500.",SENSOR HEATING
F/O WINDSHIELD WIPER INOP / LOTO DEVICE INSTALLED,". 

WIPER UNSTUCK FO`S WS WIPER OPS CK GOOD REF EMB 145 MM 30-41-03 / LOTO REMOVED",WS WIPER
AURAL UNIT 1 CHANNEL ANNUNCIATED IN FLIGHT / LOTO DEVICE INSTALLED,". 

PERFORMED AURAL WARNING TEST IAW EMB 145 AMM REF 31-51-00. OPS CHECK SAT. NO DEFECTS NOTED. / LOTO STOWED",AURAL WARNING
BRAKE DEGRADED MESSAGE ON EICAS LOTO INSTALLED,". 

FIXED RESET BRAKE INDICATION IRW EMB 145XR AMM 32-40-00 OPS CHECK GOOD LOTO REMOVED AND STOWED",BRAKE DEGRADE
